video_id,title,description,published_at,channel_title,tags,duration,view_count,like_count,comment_count,thumbnail_url,publish_date,publish_year,publish_month,publish_day_of_week,duration_seconds,duration_minutes,days_since_published,engagement_rate,views_per_day,like_to_view_ratio,duration_category,workout_type,is_nina_video
WWzsVVkBiLg,"Bestie duo, Danni & KB take BODYPUMP HEAVY 💪 #bodypumpheavy","Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-11-04 22:52:40,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT1M12S,5082,145,1,https://i.ytimg.com/vi/WWzsVVkBiLg/hqdefault.jpg,2025-11-04,2025,11,Tuesday,72,1.2,3,2.872884691066509,1694.0,0.02853207398661944,Short (< 15 min),BODYPUMP,False
SrWRhkShJRw,LES MILLS LIVE Amsterdam,"Two weeks ago, we brought the energy to the SugarFactory ⚡ From the first rep to the last track… LES MILLS LIVE Amsterdam, you turned it ALL the way up with us!! 🔥 Tokyo, you’re up next 👀

https://www.lesmills.com/live/

#lesmillslive #lesmillsliveamsterdam #adidaslesmills

__________

Choose a workout you’ll actually enjoy with Les Mills 💚 Choose a science-backed, endorphin-raising workout from one of the happiest places on the planet: New Zealand.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-21 19:48:54,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT59S,7039,164,8,https://i.ytimg.com/vi/SrWRhkShJRw/hqdefault.jpg,2025-10-21,2025,10,Tuesday,59,0.9833333333333333,17,2.4435289103565845,414.05882352941177,0.02329876402898139,Short (< 15 min),Other,False
sUL1-4z05KU,Consider this your hard (and heavy) launch.,#bodypumpheavy #lesmills,2025-10-13 19:43:42,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT16S,7780,145,2,https://i.ytimg.com/vi/sUL1-4z05KU/hqdefault.jpg,2025-10-13,2025,10,Monday,16,0.26666666666666666,25,1.8894601542416452,311.2,0.018637532133676093,Short (< 15 min),Other,False
ghiraWF-Sgo,What is BODYPUMP HEAVY | LES MILLS,"Choose a workout you’ll actually enjoy with Les Mills 💚 Choose a science-backed, endorphin-raising workout from one of the happiest places on the planet: New Zealand.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-13 19:43:06,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT2M3S,11151,198,20,https://i.ytimg.com/vi/ghiraWF-Sgo/hqdefault.jpg,2025-10-13,2025,10,Monday,123,2.05,25,1.9549816159985651,446.04,0.01775625504439064,Short (< 15 min),BODYPUMP,False
z7gwt-fuceI,Introducing BODYPUMP HEAVY,"Choose a workout you’ll actually enjoy with Les Mills 💚 Choose a science-backed, endorphin-raising workout from one of the happiest places on the planet: New Zealand.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-13 19:42:28,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT56S,23268,296,16,https://i.ytimg.com/vi/z7gwt-fuceI/hqdefault.jpg,2025-10-13,2025,10,Monday,56,0.9333333333333333,25,1.3408973697782363,930.72,0.01272133402097301,Short (< 15 min),BODYPUMP,False
vQrU8YlHEUU,BORN TO MOVE 33 | School Years (6-7 year olds) | School Yard,"Designed to nurture a life-long love of physical activity, BORN TO MOVE™ helps children experience the joy and vitality of moving to music.
 
Each session feeds young people’s natural appetite for action, movement and play – and lets them enjoy the energy, confidence, good health and increased ability that goes with it. 

Disclaimer:
Children should not participate in BORN TO MOVE without adult supervision. Participation in these exercises carries an inherent risk of physical injury - particularly if participants have a history of health problems or any previous injuries. To the extent permitted by law, Les Mills and its affiliates disclaim any and all liability in connection with the exercises in this video and any instructions and advice provided.

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-12 19:42:15,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT3M12S,528,13,0,https://i.ytimg.com/vi/vQrU8YlHEUU/hqdefault.jpg,2025-10-12,2025,10,Sunday,192,3.2,26,2.462121212121212,20.307692307692307,0.02462121212121212,Short (< 15 min),Other,False
3rrJEr7Djvs,BORN TO MOVE 33 | School Years (6-7 year olds) | Digital Creation,"Designed to nurture a life-long love of physical activity, BORN TO MOVE™ helps children experience the joy and vitality of moving to music.
 
Each session feeds young people’s natural appetite for action, movement and play – and lets them enjoy the energy, confidence, good health and increased ability that goes with it. 

Disclaimer:
Children should not participate in BORN TO MOVE without adult supervision. Participation in these exercises carries an inherent risk of physical injury - particularly if participants have a history of health problems or any previous injuries. To the extent permitted by law, Les Mills and its affiliates disclaim any and all liability in connection with the exercises in this video and any instructions and advice provided.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-12 19:42:20,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT2M58S,1163,48,0,https://i.ytimg.com/vi/3rrJEr7Djvs/hqdefault.jpg,2025-10-12,2025,10,Sunday,178,2.966666666666667,26,4.12725709372313,44.73076923076923,0.0412725709372313,Short (< 15 min),Other,False
D2RYLsk3dMI,10-Minute Meditation with Milly | LES MILLS COLOURS,"For the full experience of LES MILLS COLOURS, head to the LES MILLS+ app:
https://my.lesmillsondemand.com/program/les-mills-colours

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-06 22:53:58,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT10M32S,1878,52,2,https://i.ytimg.com/vi/D2RYLsk3dMI/hqdefault.jpg,2025-10-06,2025,10,Monday,632,10.533333333333333,32,2.8753993610223643,58.6875,0.027689030883919063,Short (< 15 min),Other,False
W-02vxixDmk,"Three days of reps, sweat and insaaaaane energy! Thank you, Amsterdam! 🥹🫶",#lesmillslive #lesmillsliveamsterdam #adidaslesmills,2025-10-04 17:57:41,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT35S,7540,192,0,https://i.ytimg.com/vi/W-02vxixDmk/hqdefault.jpg,2025-10-04,2025,10,Saturday,35,0.5833333333333334,35,2.546419098143236,215.42857142857142,0.02546419098143236,Short (< 15 min),Other,False
Qn2OnU3XfOQ,The bronco double sprinter went offfff 🥵,#lesmillslive #lesmillsliveamsterdam #adidaslesmills,2025-10-04 15:29:26,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT23S,12089,193,6,https://i.ytimg.com/vi/Qn2OnU3XfOQ/hqdefault.jpg,2025-10-04,2025,10,Saturday,23,0.38333333333333336,35,1.6461245760608818,345.4,0.01596492679295227,Short (< 15 min),SPRINT,False
